Ah,T,P,V,Time
-0.04934,24.39678,-1.043936738,4.12868,151.011995226145
-0.04941,24.39678,-1.043936738,4.12868,152.003993466496
-0.04948,24.39678,-1.0438937535,4.12851,153.003998100758
-0.04955,24.39678,-1.0438937535,4.12851,153.995996341109
-0.04962,24.39678,-1.0438937535,4.12851,154.999994114041
-0.04969,24.39678,-1.043850769,4.12834,156.002996116877
-0.04976,24.39678,-1.043850769,4.12834,157.005998119712
-0.04983,24.39678,-1.0438077845,4.12817,157.997000589967
-0.0499,24.29162,-1.0438077845,4.12817,158.999992534518
-0.04997,24.29162,-1.0438077845,4.12817,160.001998767257
-0.05004,24.29162,-1.0437648,4.128,161.009999737144
-0.05011,24.29162,-1.0437648,4.128,162.002993747592
-0.05018,24.29162,-1.0437648,4.128,163.00399415195
-0.05025,24.29162,-4.5528576984,4.12632,163.995992392302
-0.05058,24.29162,-10.2877264575,4.11435,164.998994395137
-0.05141,24.29162,-18.0043138668,4.09362,165.997993201017
-0.05275,24.29162,-24.4879915593,4.06951,167.006999999285
-0.05465,24.18646,-34.3102977144,4.04136,167.998998239636
-0.05712,24.18646,-43.602189555,4.01305,169.002996012568
-0.06013,24.29162,-37.899178467,3.98995,169.997991621494
-0.06278,24.29162,-37.7686850418,3.99771,171.002995222807
-0.06539,24.29162,-30.3749203043,3.99619,172.001994028687
-0.06749,24.29162,-16.1287368627,4.01709,173.00599180162
-0.06859,24.29162,0.0207347959,4.05769,174.005000665784
-0.06826,24.29162,5.142620832,4.1091,174.994997307658
-0.068,24.29162,3.1903786985,4.10893,176.0070014745
-0.06793,24.29162,-0.0209769588,4.10508,177.004994452
-0.06863,24.29162,-9.8930063826,4.07727,178.000000119209
-0.06923,24.29162,-8.7526013872,4.07963,179.003997892141
-0.06983,24.29162,-8.9698965765,4.07895,180.003992468119
-0.07066,24.29162,-30.0708180208,4.06547,180.996000766754
-0.07275,24.29162,0.0208622393,4.08263,182.004997506738
-0.07239,24.29162,31.0149820422,4.12191,182.998997345567
-0.07032,24.29162,12.8835178016,4.17568,184.002995118499
-0.06946,24.29162,35.4819659459,4.15309,184.998000785708
-0.06719,24.29162,14.571534139,4.19186,186.006997525692
-0.06622,24.29162,1.7713864968,4.15292,187.003994733095
-0.0661,24.29162,-0.0210828891,4.12581,188.000991940498
-0.06706,24.29162,-10.6664081656,4.08232,189.010994508862
-0.06773,24.29162,-21.7380417072,4.08401,190.003998577595
-0.0692,24.29162,-35.1168387066,4.04271,191.00700058043
-0.07164,24.29162,-40.1588173231,4.00799,192.001000419259
-0.0745,24.29162,-51.4544320052,3.98692,192.995996028185
-0.07827,24.29162,-69.1914367313,3.93871,193.99899803102
-0.08327,24.29162,-69.2760706409,3.89371,194.997001066804
-0.08843,24.29162,-72.9684004752,3.87432,196.005997806787
-0.09365,24.29162,-37.411914778,3.92809,196.999997645617
-0.09626,24.29162,-56.3381986552,3.95944,197.994993254542
-0.1007,24.29162,-47.3501811996,3.89556,199.00400005281
-0.10374,24.29162,-56.6536360808,3.93011,200.006991997361
-0.10778,24.29162,-55.97251275,3.905,201.004995033145
-0.1116,24.29162,-61.5311191408,3.90584,201.996993273497
-0.11603,24.29162,-42.3339733528,3.89084,203.001001104712
-0.11903,24.29162,-41.9957878549,3.93551,204.005994647741
-0.12187,24.29162,-39.8072208225,3.94175,204.99999448657
-0.12456,24.29162,-16.059611326,3.95708,206.00699968636
-0.12567,24.29162,-9.6982690224,4.00967,207.000999525189
-0.12634,24.29162,-9.904031053,4.0267,207.997000962496
-0.12721,24.39678,-11.9636964432,4.02417,209.000998735428
-0.12788,24.39678,-15.6867653701,4.03007,210.002994909883
-0.12896,24.39678,-15.693475772,4.01861,211.002999544144
-0.13004,24.39678,-15.696092256,4.01928,211.995993554592
-0.13113,24.39678,-15.698747792,4.01996,213.000001385808
-0.13222,24.39678,-22.000257072,4.0176,214.004994928837
-0.13373,24.39678,-22.0472950236,4.00378,214.996993169188
-0.13527,24.39678,-29.8259428068,3.99922,215.997993573546
-0.13752,24.39678,-35.8475381208,3.97377,217.007000371814
-0.14001,24.39678,-36.0290871488,3.96248,217.998998612165
-0.14258,24.39678,-32.8058213368,3.95944,219.00900118053
-0.14472,24.39678,-31.3922947884,3.97124,220.000999420881
-0.14712,24.39678,-38.2493886379,3.96079,221.004001423717
-0.14981,24.50194,-34.2699226638,3.95102,221.996995434165
-0.15206,24.6071,-32.0356897758,3.96551,222.997995838523
-0.15458,24.6071,-43.681286022,3.95068,224.000997841358
-0.15767,24.6071,-55.610294982,3.9259,225.002994015813
-0.16166,24.6071,-55.5850173164,3.89741,225.996993854642
-0.16545,24.6071,-39.6623131902,3.90567,227.006000652909
-0.16823,24.6071,-32.7021422845,3.93601,227.997998893261
-0.17055,24.6071,-26.5626657714,3.95439,228.995991870761
-0.17233,24.6071,-20.237149389,3.97563,229.998993873596
-0.17361,24.6071,-12.7131275136,3.99804,231.001995876431
-0.17437,24.6071,-18.3523369986,4.01423,232.011998444796
-0.17586,24.6071,-28.8902547855,3.98709,233.004992455244
-0.17786,24.6071,-29.8125596304,3.96888,233.994999155402
-0.18015,24.6071,-33.736283394,3.95708,235.005997493863
-0.18273,24.6071,-29.859900167,3.94967,235.994998365641
-0.18483,24.6071,-37.6680211147,3.96029,237.005000934005
-0.18747,24.6071,-30.5851047292,3.94562,237.996999174356
-0.18963,24.6071,-31.3516760389,3.95843,239.003994315863
-0.19202,24.6071,-27.155857365,3.95253,239.996998384595
-0.19392,24.6071,-23.4119895871,3.96989,241.007000952959
-0.19555,24.6071,-15.764892648,3.9822,242.001000791788
-0.19665,24.50194,-23.151564189,3.9967,243.002996966243
-0.19826,24.50194,-23.1804598249,3.98237,243.999994173646
-0.19987,24.6071,-23.1703047814,3.98237,244.996991381049
-0.2015,24.71226,-23.1814493558,3.98254,245.999993383884
-0.2031,24.71226,-23.1814493558,3.98254,247.005992755294
-0.20474,24.71226,-22.8995325504,3.98304,247.996995225549
-0.2061,24.71226,-11.738108592,3.99636,249.006997793913
-0.20691,24.71226,-11.7266147544,4.01338,250.000997632742
-0.20771,24.71226,0,4.01591,251.000992208719
-0.20754,24.71226,-0.0207168087,4.05417,252.000001072884
-0.2078,24.71226,-3.767368288,4.0412,253.013996779919
-0.20826,24.71226,-13.86895125,4.03125,254.007000848651
-0.20921,24.71226,-10.1603966085,4.01827,254.996997490525
-0.20991,24.71226,-17.130735245,4.0235,256.007000058889
-0.21109,24.71226,-17.1414067935,4.00917,256.996000930667
-0.2133,24.71226,-24.5775966,3.9731,257.999998703599
-0.21502,24.71226,-24.572262678,3.9854,259.005998075008
-0.21673,24.71226,-21.1122816926,3.98557,260.001999512315
-0.2182,24.71226,-10.2215489856,3.99804,261.004991456866
-0.2189,24.71226,-9.3503138178,4.02299,262.012992426753
-0.21937,24.71226,-6.4378224514,4.03294,262.998995929956
-0.2198,24.71226,-6.1944714546,4.03546,264.006001129746
-0.22022,24.71226,-5.549069253,4.03833,264.998995140195
-0.2204,24.71226,-29.955003299,4.0331,266.003998741508
-0.2225,24.71226,-5.8582032548,3.98203,267.005994915962
-0.22289,24.71226,-15.595554059,4.0331,268.009992688894
-0.22399,24.71226,-12.3847398804,4.01406,269.005994126201
-0.22483,24.71226,-12.304404338,4.02131,269.997992366552
-0.22568,24.71226,-20.3328220639,4.01659,271.002995967865
-0.22723,24.71226,-22.4386887592,3.99518,272.003000602126
-0.22904,24.71226,-26.137903983,3.98355,272.995994612575
-0.23109,24.71226,-30.5514776282,3.97006,274.003995582461
-0.23345,24.71226,-34.169564842,3.9581,275.002994388342
-0.23606,24.71226,-37.8106397228,3.94562,276.013992726803
-0.23877,24.71226,-38.285354856,3.94158,277.014993131161
-0.24151,24.71226,-44.6709203864,3.93652,277.994991838932
-0.24538,24.81741,-41.1573000265,3.89893,279.002992808819
-0.24827,24.81741,-29.7659098361,3.92927,279.995996877551
-0.25036,24.81741,-29.7389763409,3.95371,280.996997281909
-0.253,24.81741,-24.8960440908,3.94158,282.006999850273
-0.25462,24.81741,-15.4542209484,3.97293,282.996996492147
-0.25568,24.81741,-7.3861737544,3.99434,284.00200009346
-0.2557,24.81741,0,4.03344,285.000998899341
-0.25552,24.81741,9.5160450528,4.04976,286.007994040847
-0.25487,24.81741,14.9911474999,4.07033,287.003995478153
-0.2538,24.81741,15.120067805,4.0855,288.004995882511
-0.25291,24.81741,-0.0208692911,4.08401,288.997999951243
-0.25421,24.81741,-18.9496759421,4.00613,289.997994527221
-0.25553,24.81741,-5.2018178916,4.00917,291.007001325488
-0.25589,24.81741,0.0206443489,4.03999,292.006995901465
-0.25502,24.81741,-0.0208469093,4.07963,293.014001101255
-0.25603,24.81741,-14.5342795602,4.01878,293.994995579123
-0.25748,24.81741,-15.3114659776,4.00192,295.004998147488
-0.25849,24.81741,-14.29464996,4.0149,296.000999584794
-0.2588,24.81741,-14.1894759807,4.03749,297.010992094874
-0.25978,24.81741,-14.3507440125,4.01625,297.9949939996
-0.26096,24.81741,-17.4609717168,4.00731,298.992997035384
-0.26217,24.81741,-17.151023516,4.00664,299.99999217689
-0.26247,24.81741,-3.6123979479,4.04103,301.004000008106
-0.26255,24.81741,-0.879357037,4.05047,302.005000412464
-0.2626,24.81741,0,4.05266,303.006996586919
-0.2619,24.81741,14.7770033646,4.08297,303.996993228793
-0.26084,24.81741,15.8073044415,4.09865,305.006995797157
-0.25977,24.92257,16.2434034064,4.10303,305.998994037509
-0.25854,24.92257,18.1316951795,4.11061,307.001996040344
-0.25734,24.92257,17.6027537697,4.11213,307.995000109076
-0.25629,24.92257,15.8718484908,4.10994,309.00399684906
-0.25512,24.92257,30.5176292609,4.12157,309.998992457986
-0.25306,24.92257,23.165818056,4.14534,311.004991829395
-0.25149,24.92257,28.542714439,4.1359,312.007993832231
-0.24959,24.92257,23.8377903504,4.14804,313.00199367106
-0.24826,24.92257,19.4708926374,4.12966,313.994997739792
-0.2471,24.92257,11.3718895752,4.12258,314.999991282821
-0.24633,24.92257,11.0029108931,4.11061,315.999000146985
-0.24568,24.92257,0,4.1064,316.998994722962
-0.24604,24.92257,0,4.06985,318.001996725798
-0.24591,24.92257,7.8508587888,4.08752,318.996992334723
-0.2452,24.92257,18.4669776105,4.11045,320.008000731468
-0.24395,24.92257,34.9357269589,4.13489,321.002996340394
-0.24163,24.92257,38.654917719,4.1681,322.001995146275
-0.23903,24.81741,14.837960646,4.17045,323.006998747587
-0.23817,24.81741,8.7200719032,4.11837,323.998996987939
-0.23765,24.81741,3.2089993884,4.10589,324.999997392297
-0.23744,24.81741,11.9354540635,4.09915,326.005996763706
-0.23664,24.81741,11.8683950656,4.11584,327.00399979949
-0.2359,24.81741,18.9805376756,4.11938,328.00199277699
-0.23447,24.92257,9.1283758475,4.13657,328.994996845722
-0.23386,24.92257,9.9797515377,4.11297,330.003993585706
-0.233,24.92257,12.8802239115,4.12005,331.002992391586
-0.23228,24.92257,6.9029103825,4.11365,331.995996460319
-0.23196,24.92257,0,4.09983,332.997992634773
